COD_MUN,NO_MUN,ETNIA,Total_Population
2800308,Aracaju,Amarela,7810.964905019342
2800308,Aracaju,Branca,183691.62175025613
2800308,Aracaju,Ignorado,304.3694195443227
2800308,Aracaju,Indígena,2357.6137240073613
2800308,Aracaju,Parda,316559.17731029063
2800308,Aracaju,Preta,60425.25289088152
2910800,Feira de Santana,Amarela,4762.130731474876
2910800,Feira de Santana,Branca,111556.41611474799
2910800,Feira de Santana,Ignorado,68.6356226846112
2910800,Feira de Santana,Indígena,1068.8472886217469
2910800,Feira de Santana,Parda,310979.7304582107
2910800,Feira de Santana,Preta,128206.23978426024
2927408,Salvador,Amarela,37042.74379188666
2927408,Salvador,Branca,505739.22726513125
2927408,Salvador,Ignorado,4846.736140152118
2927408,Salvador,Indígena,7931.7758583389095
2927408,Salvador,Parda,1386842.4473158366
2927408,Salvador,Preta,733253.0696287088
3106200,Belo Horizonte,Amarela,25605.81688427026
3106200,Belo Horizonte,Branca,1101397.0699472122
3106200,Belo Horizonte,Ignorado,184.192165347378
3106200,Belo Horizonte,Indígena,3958.3008383323904
3106200,Belo Horizonte,Parda,1000020.7398617109
3106200,Belo Horizonte,Preta,243984.88030314064
3118601,Contagem,Amarela,8096.105925859326
3118601,Contagem,Branca,232342.7807104845
3118601,Contagem,Ignorado,1804.549261534879
3118601,Contagem,Indígena,1023.2374121282435
3118601,Contagem,Parda,298358.8501289414
3118601,Contagem,Preta,61816.476561043884
3136702,Juiz de Fora,Amarela,3534.869730495433
3136702,Juiz de Fora,Branca,294079.53971637506
3136702,Juiz de Fora,Indígena,537.9444113973123
3136702,Juiz de Fora,Parda,144152.9888170562
3136702,Juiz de Fora,Preta,73941.65732467604
3170206,Uberlândia,Amarela,6917.81904825109
3170206,Uberlândia,Branca,332057.0086328464
3170206,Uberlândia,Indígena,964.7746632734063
3170206,Uberlândia,Parda,212919.22965018864
3170206,Uberlândia,Preta,51154.16800544518
3301702,Duque de Caxias,Amarela,9822.903035354362
3301702,Duque de Caxias,Branca,302089.0234744958
3301702,Duque de Caxias,Indígena,836.153872059951
3301702,Duque de Caxias,Parda,418370.54301993776
3301702,Duque de Caxias,Preta,123929.37659815144
3303500,Nova Iguaçu,Amarela,7377.521033592269
3303500,Nova Iguaçu,Branca,289611.78374642134
3303500,Nova Iguaçu,Indígena,771.4587632026173
3303500,Nova Iguaçu,Parda,390286.5937728447
3303500,Nova Iguaçu,Preta,108209.64268395008
3304557,Rio de Janeiro,Amarela,45912.72117705822
3304557,Rio de Janeiro,Branca,3239888.024917041
3304557,Rio de Janeiro,Ignorado,1841.8231171361736
3304557,Rio de Janeiro,Indígena,5980.50906266101
3304557,Rio de Janeiro,Parda,2318675.4003562764
3304557,Rio de Janeiro,Preta,708147.5213698006
3304904,São Gonçalo,Amarela,4458.16534449687
3304904,São Gonçalo,Branca,434724.47893566266
3304904,São Gonçalo,Ignorado,401.32625686515354
3304904,São Gonçalo,Indígena,675.0330280308732
3304904,São Gonçalo,Parda,440295.50847417687
3304904,São Gonçalo,Preta,119173.48796069909
3509502,Campinas,Amarela,13150.573608724051
3509502,Campinas,Branca,720024.1351956392
3509502,Campinas,Ignorado,2090.5767892020376
3509502,Campinas,Indígena,749.5533318580353
3509502,Campinas,Parda,274174.2478756496
3509502,Campinas,Preta,69923.91319894511
3518800,Guarulhos,Amarela,14516.188390245896
3518800,Guarulhos,Branca,651752.0394889865
3518800,Guarulhos,Ignorado,576.9644551188966
3518800,Guarulhos,Indígena,1993.1321943250975
3518800,Guarulhos,Parda,481524.5232503152
3518800,Guarulhos,Preta,71616.15222101346
3534401,Osasco,Amarela,7254.106838323395
3534401,Osasco,Branca,389556.12671048904
3534401,Osasco,Ignorado,373.75840689353
3534401,Osasco,Indígena,542.773906798216
3534401,Osasco,Parda,227393.59577241013
3534401,Osasco,Preta,41619.638365083425
3543402,Ribeirão Preto,Amarela,5536.593479194924
3543402,Ribeirão Preto,Branca,420813.58077090146
3543402,Ribeirão Preto,Ignorado,2054.4299203135793
3543402,Ribeirão Preto,Indígena,570.4345451948179
3543402,Ribeirão Preto,Parda,137415.2675129739
3543402,Ribeirão Preto,Preta,38291.693771425686
3547809,Santo André,Amarela,9977.76371770341
3547809,Santo André,Branca,479663.5160843655
3547809,Santo André,Indígena,634.2612581555773
3547809,Santo André,Parda,156837.05657921836
3547809,Santo André,Preta,29294.40236055783
